Database,Schema,Table Name,Column Type,Column Name,Data Type,Description
public,dev,ohio_county,null,BUYER_STATE,"char(2),",State abbreviation.
public,dev,ohio_county,PK,countyfips,int,Federal information processing standard number that indicates the US county.
public,dev,county_pop,FK,countyfips,"int,","Federal information processing standard number that indicates the US county, references countyfips from the ohio_county."
public,dev,county_pop,null,STATE,"int,",US state name.
public,dev,county_pop,null,COUNTY,"int,",County name.
public,dev,county_pop,null,variable,"varchar,",Need more information.
public,dev,county_pop,null,year,"varchar,",Year the population is counted for.
public,dev,county_pop,null,population,int,Population of the county for the year counted.
public,dev,crp_industry_codes,null,Catcode,"varchar,",Category code.
public,dev,crp_industry_codes,null,Catname,"varchar,",Category name
public,dev,crp_industry_codes,null,Carorder,"varchar,",Category order.
public,dev,crp_industry_codes,null,Industry,"varchar,",Industry name.
public,dev,crp_industry_codes,null,Sector,"varchar,",Sector abbreviation.
public,dev,crp_industry_codes,null,SectorLong,"varchar,",Description of the industry sector.
public,dev,crp_industry_codes,null,metadata_sheet,varchar,Name of spreadsheet the data came from.
public,dev,crp_member,null,CID,"varchar,",Candidate ID
public,dev,crp_member,null,CRPName,"varchar,",Candidate name.
public,dev,crp_member,null,Party,"varchar,",Political party of candidate.
public,dev,crp_member,null,Office,"varchar,",House or senate.
public,dev,crp_member,null,FECCandID,"varchar,",Federal election committee ID.
public,dev,crp_member,null,metadata_sheet,varchar,Name of spreadsheet the data came from.
public,dev,committee,null,CODE,"varchar,",Committee code.
public,dev,committee,null,CmteName,"varchar,",Committee name.
public,dev,committee,null,metadata_sheet,varchar,Name of spreadsheet the data came from.
public,dev,expenditure_codes,null,ExpCode,"varchar,",Expenditure code.
public,dev,expenditure_codes,null,DescripShort,"varchar,",Short description of expenditure type.
public,dev,expenditure_codes,null,DescripLong,"varchar,",Long description of expenditure type.
public,dev,expenditure_codes,null,Sector,"varchar,",Sector of the expenditure type.
public,dev,expenditure_codes,null,SectorName,"varchar,",Name of sector of the expenditure type.
public,dev,expenditure_codes,null,metadata_sheet,varchar,Name of spreadsheet the data came from.
public,dev,unemployment_rate,null,series_id,"varchar,",BLS API series ID code.
public,dev,unemployment_rate,null,year,"int,",Year.
public,dev,unemployment_rate,null,period,"char(3),",Month period.
public,dev,unemployment_rate,null,value,"decimal,","Unemployment rate for series id, year and county."
public,dev,unemployment_rate,null,footnotes,varchar,Footnotes for reach observation.
public,dev,cw_area,PK,area_code,"varchar,",Area code.
public,dev,cw_area,null,area_name,"varchar,",Area name.
public,dev,cw_area,null,display_level,"varchar,",Display level.
public,dev,cw_area,null,selectable,"varchar,",Need more information.
public,dev,cw_area,null,sort_sequence,int,Need more information.
public,dev,cw_item,PK,item_code,"varchar,",Item code.
public,dev,cw_item,null,item_name,"varchar,",Item name.
public,dev,cw_item,null,display_level,"varchar,",Display level.
public,dev,cw_item,null,selectable,"varchar,",Need more information.
public,dev,cw_item,null,sort_sequence,int,Need more information.
public,dev,la_area,FK,area_type_code,"char(1),",Area type code.
public,dev,la_area,PK,area_code,"varchar,",Area code.
public,dev,la_area,null,area_text,"varchar,",Area text.
public,dev,la_area,null,display_level,"varchar,",Display level.
public,dev,la_area,null,selectable,"varchar,",Need more information.
public,dev,la_area,null,sort_sequence,int,Need more information.
public,dev,la_area_type,PK,area_type_code,"char(1),",area type code.
public,dev,la_area_type,null,areatype_text,varchar,area type text
public,dev,la_measure,PK,measure_code,"char(2),",Measure code.
public,dev,la_measure,null,measure_text,varchar,Type of measure for unemployment.
